Date,icon_edit,icon_calendar,icon_attachment,icon_accessibility,icon_folder,icon_hourGlass,icon_image,icon_language,icon_more,icon_notification,icon_phone,icon_printer,icon_refresh,icon_piggyBank,icon_scan,icon_sdCard,icon_translation,age
2/28/2023 14:13:21,Edit,Calendar,Save,Connect,Files,Wait,Picture,Wifi,"More, drop-down" ,Notifications,Incoming call,Print,Refresh,Money,I don’t know,Save,Chat,25 - 34,
2/28/2023 14:57:14,Write,Calendar,Attachment,Save life,Open files,Wait,Image ,World ,Don’t know,Notification ,Call,Print ,Refresh,Piggy Bank,Screenshot,Memory ,Don’t know,25 - 34,
2/28/2023 15:11:50,Drafting a document,Calendar,Paperclip,An individual,"Files, filing","Waiting, time","Image, pictures","Global, network",Menu dropdown,Notification,Phone call,Fax machine,"Syncing, loading",Savings,Scanning,Simcard,Translating,35 - 44,
2/28/2023 15:34:46,Edit,Calendar,Attachment,Accessibility,Folder,Loading,Image,World wide web,Menu,Notification,Incoming call,Print,Refresh,Savings,Zoom out?,Memory,Language,25 - 34,
2/28/2023 15:53:36,Edit,Calendar,Attachment,"I don't know, maybe accessibility?",Folder,Wait,Picture,Web,Extension?,Alarm,Return the call,Printing,Refresh,Save money,Don't know...,Save??,Translation,35 - 44,
2/28/2023 15:55:40,Representing notetaking ,Calendar,Attachment,I don't know ,File ,"Time, loading ",Image File ,Internet,"Hamburger menu,More options" ,"Alert, alarm",Incoming call,Print,Refresh,I don't know ,I don't know ,Memory,Messenger ,25 - 34,
2/28/2023 17:02:23,note,calendar,file,hug,file,loading,photo,internet,more,alarm,phone,printer,refresh,saving,scan,disk,translate,18 - 24,
2/28/2023 17:31:12,to write,calendar,attachment,giving a hug?,folder,time,image,internet,more (like a hamburger menu),notification,phone call,print,refresh,A walet?,scan,sim card,translation,25 - 34,
2/28/2023 18:01:25,"Pencil, edit","Calendar, filter by dates","paperclip, archive","person, help","file, save","Time, loading","Image, load image","globe, map","More, expand menu","Alarm, alert","Phone, hang up","Printer, print",Refresh ,"Piggy bank, save",Align,"ssd, save",Chat,35 - 44,
2/28/2023 18:40:11,Edit,Calendar,Link,Hug,Save,Loading ,Image,Browser ,Setting ,Notifications ,Miss call,Print ,Refresh ,Saving ,Scan,Save,Translate ,35 - 44,
3/1/2023 21:36:49,e di t,calendar,attachment,"help,Men's toilet",file,timer,iamge,web,more,notification,incoming call,print,refresh,save money,scan,sd card,translation,35 - 44,
3/1/2023 21:42:18,Notes ,Calendar ,Attached ,Hug,Folder ,Waiting,Images ,Internet ,Loading,Alert ,Calling someone ,Print,Refresh,Financial ,Scan,Save,Chinese English translation ,25 - 34,
3/1/2023 22:22:29,pencil,calendar,paper clip,person,folder,wait,picture,world wide web,more info,alert,answer call,printer,refresh,savings,no idea,sim,translate,45 - 54,
3/2/2023 7:16:58,Write,Calendar,File attachment,Hug me,Folder directory,Timer,Image attachment,World,More options,"Alarm,Notification",Dial in,Print,Refresh,Piggy bank,Change after selectall,External,Language setup,35 - 44,
3/2/2023 11:38:35,"notes, pencil","calendar, year",paper clip,person open arms,folder,time,image,globe,"menu items?, not sure",notification,receiving a call,printer,refresh,savings,not sure,memory card,translate,25 - 34,
3/2/2023 11:45:08,New Page,Calendar ,Add file,?,New Folder,Loading ,Add Photo,World Wide Web ,Drop down for more settings ,Alerts ,Inbound call ,print ,Refresh ,Pay,?,"Save,download" ,?,25 - 34,
3/2/2023 11:48:54,"New email, new draft",Calendar ,Attachment,Not sure,File folder ,Loading,Image ,Language,"Menu, more options ",Notifications ,Incoming call,Print,Refresh,Donation?,Crop? ,Save?,Translate,25 - 34,
3/2/2023 12:16:29,"Write,pencil",Calendar,"Paper clip,attachment",Person,File,Timed,Picture attached,Internet ,More,Silence,Incoming cal,Print,Refresh,Money,N/a,Save,Other language,25 - 34,
3/2/2023 12:19:50,Pencil,Calendar,Copy ,Accessibility ,Folder nav,Loading,Upload image ,Web page link ,Move block ,Notification ,Missed call,Printer,Refresh,Cash out,Resize,Memory device,Translation ,25 - 34,
3/2/2023 12:21:06,Pencil,Calendar ,Paper clip ,Person,Folder ,Timer ,Mountain ,World ,Dots ,Bell ,Phone ,Printer ,Loading ,Piggy bank ,Don’t know ,Chip ,Emoji ,25 - 34,
3/2/2023 12:48:46,edit,calendar,file,people,folder,timer,image,global,more,notification,call in,printer,refresh,money,scan,save,translate,25 - 34,
3/2/2023 12:56:27,write,calendar,pin,I don't know lolll,document,time is waiting,image,"home page,global",more,subscribe,call,print,rerender,save the money,scrennshot,memory card,translation,25 - 34,
3/2/2023 13:04:03,Write,Calendar,"Paperclip,Attach a file",Man,"Folder, documents","Hourglass,loading" ,Photo gallery ,Internet,Menu,"Bell, notifications",Answer call,Print,Refresh,Piggy bank,Scan,SD card,Translate ,25 - 34,
3/2/2023 13:13:09,Edit,Calendar,Attachment,People,File,Time,Photo,Web,More Options,Notification,Incoming Call,Print,Refresh,Bank,,Save,Translate ,25 - 34,
3/2/2023 13:32:34,edit,calendar,attached file,accssible,file,i don't know,picture,world map,more,notification,i don't know,print,refresh,balance??,scan,save,translation,25 - 34,
3/2/2023 14:35:08,Edit,Calendar ,Attachment ,Hug,File,"Buffering,thinking",Photo,Internet,Settings,Notification,Call,Print ,Refresh,Savings,Idk,Sim ,Translate ,25 - 34,
3/2/2023 14:48:57,Pen,Table,File,People,Folder,Time,Picture,Web,More info,Notification,Call,Printer,Refresh,Money,？,Sim,Text,35 - 44,
3/2/2023 15:17:19,"Write,input" ,Calendar ,Attachment ,Adults and kids ,Folder ,Waiting and processing ,Photos ,Website ,Some more options ,Reminder ,Incoming and outgoing calls,Printer,Refresh ,Saving ,Not clear ,Small storage ,Translation ,35 - 44,
3/2/2023 15:23:34,"Pencil,means edit?",Calendar,Link,Account,Folder,Clock,Picture,Network,Dropdown,Reminder,Incoming Phone Call,Printer,Refresh,Balance,Scan bar code,Sim Card,Text,35 - 44,
3/2/2023 15:31:39,Writing,Calendar,Attach file,More information,Save,Loading,Attach photo,Language change,Menu,Alert,Call,Print,Refresh,Pay,No clue,Storage,Translate,25 - 34,
3/2/2023 15:43:44,Modify,Calendar,Attachment,People,Folder,Waiting ,Picture ,Global time zone,More options,Notification,Calls for me,Print,Refresh,Save money,Scan bar code,Sim card,Translate,35 - 44,
3/2/2023 16:16:47,edit,calendar,attachment,user,folder,timing,pics,"switch input method,online",more,warn,call,Print,refresh,invest,scan,storage,translate,35 - 44,
3/2/2023 16:17:13,"Pencil, sign, fill form, edit form","Calendar, date","Paperclip, attachment","Human, hug, community","Folder, files","Hourglass, time, processing","Image, picture",Globe,"Etc, more info","Alarm, ring, bell",Incoming call,"Printer, print",Refresh,"Coin, piggy bank, saving",Scan,Sim card,Translate,35 - 44,
3/2/2023 16:17:17,Edit,Calendar ,Link,I did not see the icon before ,Folder,Loading ,Image,Choose different language ,More options ,"Check Notification, message" ,Make a call ,Print ,Refresh ,"Never saw the icon before, maybe wallet or check balance ",Camera ,Storage ,Switch languages ,35 - 44,
3/2/2023 16:19:12,New post,Calendar,Attachment,Hug,"File,Folder",Waiting,Image,Network,More,Notifications,Incoming call,Print,Refresh,Saving,Scan,Save,Translate,18 - 24,
3/2/2023 18:11:12,Pencil,"Calendar, Appointment, Date",Paperclip,Person,"Folder, Files","Hourglass, Time, Timer","Image, Picture",Internet,"Dropdown Menu, More, Extended Options","Alert, Notification, Bell","Answer, Phone Call",Print,Refresh,"Savings, Piggybank",N/A,"Save, Floppy Disk",Languages,25 - 34,
3/2/2023 18:11:24,"Pen, Writing here","Oven, range, dishwasher ","曲别针，附件 ,paper clip, attachement",People ,"Folder,Open the folder" ,沙漏；loading ,"Pictures, photos ",Earth,More,Bell,Phone calling,Printer,Reload ,"存钱罐, piggy bank",Scan QR code,Save,"输入法切换, Input method switching",35 - 44,
3/2/2023 18:14:02,New post,Calendar,I don't know,People,Save,"Time,waiting",Photo,Internet,More menu,Notification,Incoming call,Print,"Re-load,loading",Bank account,idk ,Save,Idk,25 - 34,
3/2/2023 18:18:04,New post,Calendar,Link,A guy,Load,Wait,Photos,Internet,More,"Notifications, alert",Call,Print,Refresh,Pay,Break,SD card,Translate,25 - 34,
3/2/2023 18:25:54,edit,calendar,file attaching,"parental guide?, For kids?",folder,load time,photo,Web,like hamburger but with dots,notification,incoming call,print,refresh,savings,idk,simcard?,translate,25 - 34,
3/2/2023 18:45:34,"Make a comment, write a note",Calendar,Attach a file,Profile,Files,Timer,"Photos,Images",Webpage,Options,Notifications,Call,Print,Refresh,Add money,Minimize,Save,Translate,25 - 34,
3/2/2023 19:21:22,edit,calendar,attachment,accessibility,files,loading,image,"internet,web",click for more,"notification,alert",hang up,print,reload,savings,scan,sim,translation,35 - 44,
