Timestamp,icon_profile,icon_link,icon_bluetooth,icon_usb,icon_thermometer,icon_database,icon_message,icon_bookmark,icon_rate,icon_power,icon_setting,icon_share,icon_desktop,age
3/2/2023 16:15:13,Profile,Attachment,Bluetooth,USB,Temperature ,I dont know,Chat,Save,star,Power,Setting,Share,My Computer,25 - 34
3/2/2023 18:07:17,Profile,Link,Bluetooth ,USB ,Temperature ,Database ,Message ,Bookmark ,Rating ,Power,Setting ,Share,Desktop ,35 - 44
3/2/2023 18:28:23,profile,hyperlink,bluetooth,usb,thermometer,cloud storage,chat,bookmark,star rating,power,setting,share,my computer,25 - 34
3/2/2023 19:20:05,user profile,link,bluetooth,usb,tempature,"(hard) drive, storage","message, comments",bookmark/save,star rating,power on/off,setting,share,computer/desktop,35 - 44
3/2/2023 19:20:46,Profile icon,1 & 4 Link icons and 2 is attach icon. I have no idea for No.3,Bluetooth icon,USB icon?,Temperature,No idea,Messages,Bookmark ,Favorite ,Power icon,Setting ,Share,Desktop? No idea,25 - 34
3/2/2023 19:30:59,profile,attachment,bluetooth,usb,temperature,disk,chat or comment,bookmark,favorate or rating,power off,settings,sharing,desktop,45 - 54
3/2/2023 19:49:50,me or profile,link,bluetooth,usb port,template,data,talk,bookmark,save,stop,setting,share,computer,35 - 44
3/2/2023 19:52:26,User (me),Link,Blurtooth ,USB Drive,Temperature ,Storage,Message,Bookmark,"Favorite, rating",Power,Settings,Share,Computer,35 - 44
3/2/2023 20:19:07,"Profile, user",Linked,Bluetooth,USB,Temperature,"Disks, database",Chat,Bookmark,"Starred, favorited, rating (middle one)?",Power on/off,Settings,Share,Desktop,25 - 34
3/2/2023 20:25:02,登入 log in,連結 link,藍芽 Bluetooth,USB,,,訊息 Message,標籤 Tag,最愛 Favorite,開機關機 Power on/off,設定 Setting,分享 Share,,18 - 24
3/2/2023 20:48:17,User,Link,Bluetooth,USB ,Temperature,File system ,Message box,Bookmark,Rating,Power,Settings,Google chrome settings ,Computer ,35 - 44
3/2/2023 20:48:31,Profile,Link,Bluetooth,USB ,Temperature ,Data base,Message ,Bookmark ,Favorite ,Power,Setting,Share,Computer ,25 - 34
3/2/2023 22:55:43,me setting,link,Bluetooth,usb,temperature,database,sms,bookmark,score,turn off,settings,share,pc,25 - 34
3/2/2023 23:12:08,User,Link,Bluetooth,USB,Temperature ,"File, data",Message ,Bookmark ,Favorite ,Turn on/off,Setting,Share,Computer,25 - 34
3/2/2023 23:21:18,Personal profile,Link,Bluetooth,Usb,Temperature measure,Storage,Message,Bookmark,Star ,Open end button,Setting,Connection,Computer,35 - 44
3/3/2023 1:55:42,登入 log in,連結 link,藍芽 Bluetooth,存檔 Save,溫度 Temperature,不知道 I don't know,訊息 Message,書籤 Bookmark,表示重要 Important,開關機 Power on/off,設定 Setting,分享 Share,不知道 I don't know,25 - 34
3/3/2023 2:56:30,Person,Link,Bluetooth ,USB drive,Temperature ,,Chat,Save,Star,Power,Geat,Share,Computer ,45 - 54
3/3/2023 9:56:35,People,Internet ,Cut,USB,Temperature-Hot,,Message ,Simcard,Hihgtlight,Open,Search function,Share function,Computer,35 - 44
3/3/2023 11:27:46,profile,attatchement,bluetooth,save,temperature,datasource,message,bookmark,favorite,power,settings,share,computer,18 - 24
3/3/2023 21:19:59,Account ,Link ,Bluetooth,USB TYPEA,Temperature ,Currency ,Message ,Bookmark ,Rank/highlight ,Power on/off,Settings ,Share,My PC,35 - 44
3/4/2023 4:32:11,Profile,Attachment,Bluetooth ,Usb ,Temperature check ,Not sure ,Chat,Bookmark,Starred ,Power ,Settings ,Link?,Desktop ,35 - 44
3/4/2023 18:12:24,profile,attachment,wifi,save,temperature,database,chat,bookmark,rating,power,settings,link,don't know,35 - 44
3/6/2023 10:33:46,account,link,bluetooth,usb,temperature,databse,chat,bookmark,favorite,shutdown,setting,not sure,cimputer,25 - 34
3/6/2023 19:41:10,Person,Link,Bluetooth,Flash drive. ,Temperature,System,Message,Bookmark ,Rating,Power,Settings ,Share,Desktop ,35 - 44
3/6/2023 21:31:01,Profile,Link,Bluetooth,USB,Temperature,,Messaging,Bookmark,Star,Power on,Settings,Share,Computer,25 - 34
3/6/2023 21:31:02,a person,link,bluetooth,usb,temerature,coin,message,bookmark,star,off,setting,share,fax,25 - 34
3/7/2023 15:07:04,profile,attachment,bluetooth,i don't know ,temperature,database,chat,save,favorite,"open, close, power",settings,share,i dont't know,25 - 34
3/7/2023 23:51:35,User,File,,USB ,Temperature ,Stack,Tooltip,File,Rating,On/off,System,Relationship ,Computer,25 - 34
3/7/2023 23:55:57,account ,Link,Bluetooth ,usb,Temperature ,Battery ,Message or chat,Bookmark or lable ,Bookmark,Power,Settings ,Share,Computer ,25 - 34
3/8/2023 0:02:42,user,link,bluetooth,USB,temperature,database,message,bookmark,save,power,setting,share,computer,25 - 34
3/8/2023 0:17:37,Log in,Link,Bluetooth ,USB,Temperature,Database,Message,Label,Collection ,Power,Setting,Share,Pc ,25 - 34
3/8/2023 0:18:53,person,Link,Bluetooth,Usb,Temperature,Storage,Document,Bookmark,Rating,Power,Settings,Branch,Computer,35 - 44
3/8/2023 0:42:16,Profile ,Attachment ,Bluetooth ,USB,Temperature ,Battery,Message ,Bookmark or favourite ,Important ,Power on/off,Settings ,Share,PC,35 - 44
3/8/2023 0:43:24,User,Link,Bluetooth,Usb,Temp,Data base,Message,Book mark,Favorite,Power,Setting,Link,Desktop,25 - 34
3/8/2023 0:45:14,,,Blue tooth,USB ,Thermometer ,,,,,Turn on/off,,,,
3/8/2023 0:49:16,Account,Link,Bluetooth,Usb,Temp,Database,Message,Bookmark,Star,Start,Setting,Share,Desktop ,25 - 34
3/8/2023 1:07:19,profile,link,Bluetooth,usb,temperature,coins,message,bookmark,collect,power,setting,share,laptop,25 - 34
3/8/2023 1:14:05,admin,link,bluetooth,usb,temperature,battery,message,bookmark,star,Open/shutdown,System,,computer,25 - 34
